SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Outdoor Music Venue,,2/4/2016,3/2/2016
Outdoor Music Venue,Whisler's,2/28/2018,3/28/2018
Outdoor Music Venue,,12/29/2021,2/28/2022
Concrete Pouring,Ryan Companies US INC,8/20/2019,8/21/2019
Concrete Pouring,Gilbane,2/16/2018,2/16/2018
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Concrete Pouring,Gilbane,2/24/2017,2/24/2017
Private Sound Amplification,,4/15/2019,4/17/2019
Outdoor Music Venue,,5/15/2018,7/20/2018
Concrete Pouring,Largo Concrete,6/9/2020,6/9/2020
Concrete Pouring,JE Dunn Construction,8/2/2023,8/2/2023
Concrete Pouring,DPR Construction,6/13/2014,6/13/2014
Outdoor Music Venue,,5/6/2020,6/16/2020
Concrete Pouring,JE Dunn,2/8/2023,2/8/2023
Concrete Pouring,DPR Construction,6/17/2014,6/17/2014
Concrete Pouring,DPR Construction,1/11/2024,1/11/2024
Concrete Pouring,RSI Concrete,7/27/2022,7/27/2022
Outdoor Music Venue,,8/2/2017,11/3/2017
Concrete Pouring,DPR Construction,11/13/2023,11/13/2023
Outdoor Music Venue,,2/28/2014,5/13/2014
Concrete Pouring,Keystone Concrete Placement,12/2/2020,12/2/2020
Concrete Pouring,DPR Construction,10/14/2013,10/14/2013
Government Amplified Sound,Lance Armstrong Foundation,8/6/2010,8/6/2010
Outdoor Music Venue,Little Woodrow's,6/15/2018,8/10/2018
Outdoor Music Venue,,8/7/2018,10/2/2018
Outdoor Music Venue,,5/28/2019,8/8/2019
Concrete Pouring,DPR Construction,3/13/2023,3/13/2023
Concrete Pouring,Capform Inc,5/23/2018,5/23/2018
Advertising Sound Amplification,Mars on Gravity,3/5/2019,3/7/2019
Outdoor Music Venue,Speakeasy,10/4/2012,10/31/2012
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Concrete Pouring,Keystone Concrete Placement,5/12/2023,5/12/2023
Outdoor Music Venue,Botticelli's South Congress,2/24/2016,3/17/2016
Government Amplified Sound,Holy Vietnamese Martyrs Catholic Church,9/22/2015,
Advertising Sound Amplification,Hammer and Associates,8/22/2014,9/19/2014
Advertising Sound Amplification,Klaxoon,3/4/2019,
Government Amplified Sound,Mountian Gorilla Conservation Fund,1/16/2013,1/17/2013
Concrete Pouring,Friends Austin,2/10/2015,
Concrete Pouring,Rogers Obrien Const Co,1/13/2020,1/14/2020
Outdoor Music Venue,,5/27/2022,9/2/2022
Concrete Pouring,Hensel Phelps,9/9/2014,9/9/2014
Concrete Pouring,DPR Construction,3/9/2023,3/10/2023
Concrete Pouring,JE Dunn,12/10/2024,12/10/2024
Concrete Pouring,JE Dunn Construction,7/29/2020,7/29/2020
Concrete Pouring,"United Forming, Inc.",2/18/2016,2/18/2016
Advertising Sound Amplification,787 Productions LLC,2/23/2016,2/24/2016
Concrete Pouring,DPR Construction,9/22/2023,9/22/2023
Concrete Pouring,DPR Construction,12/27/2017,12/27/2017
Outdoor Music Venue,Shangri-La,2/5/2013,3/7/2013
Concrete Pouring,DPR Construction,9/3/2019,9/4/2019
Moving Vehicle,CanWeNetwork LLC,1/16/2014,1/21/2014
Outdoor Music Venue,EGLI ENTERPRISES LLC,6/29/2015,7/19/2015
Concrete Pouring,DPR Construction,11/13/2024,11/14/2024
