SUB_TYPE,FOLDER_DESCRIPTION,APPLICANT_ORGANIZATION,COMPANY_TYPES
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 3:00am - 6:00am on Tuesday morning, October 26th, 2021 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: David Langhoff 213-310-2585 or Chase Brewer 678-245-1721 or Brian Goumas 561-284-0855.","Greystar Development & Construction, LP",Construction
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 12:01am - 6:00am on Saturday, September 30th, 2023.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and confirmation from applicant that notification to surrounding property representatives will be provided as required.  On site supervisor / superintendent: Jacob Fry (512)230-2609.",Harvey-Cleary,Construction
Outdoor Music Venue,Renewal OMV for NO VA Kitchen & Bar.,"NO VA Bar Group, LLC",Food Service
Concrete Pouring,"Type 2 permit needed for concrete installation of Level 16 Pour 3 during non-peak hours of 12:00am - 7:00am on Thursday, November 19th, 2020 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: David Rayner (512)420-7972 or Tanner Dodd (512)636-3441.",DPR Construction,Construction
Private Sound Amplification,,Duty Now For The Future,Retail
Concrete Pouring,,Gilbane,Construction
Concrete Pouring,"Type 3 permit needed for concrete installation of Level 23 pour 1 during non-peak hours from 12:00am - 7:00am on Wednesday, May 27th, 2020 unless delayed.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Cody Abney (512) 677-7860 or Gabe DeLeon (512)492-2983 or Cameron Kramr (512)784-1870.",Ryan Companies US INC,Construction
Outdoor Music Venue,,Austin Partners LLC,Other
Concrete Pouring,,"Balfour Beatty Construction, LLC",Construction
Concrete Pouring,,SJL Const of TX LTD,Construction
Outdoor Music Venue,Application to renew annual outdoor music venue permit (venue formally known as Handle Bar).,Svalto LP,Other
Government Amplified Sound,Charity benefit for Gulf Restoration Network,SHUCK SHACK,Food Service
Concrete Pouring,,United Forming Inc,Construction
Advertising Sound Amplification,,The Electric Company,Entertainment
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours 3:00am - 6:00am on Friday, March 15, 2019.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light impact plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Trevor Turner (512)865-0075.",Holder Construction Company,Construction
Advertising Sound Amplification,,Takoba LLC,Food Service
Advertising Sound Amplification,,Hill Country Weavers LLC,Retail
Outdoor Music Venue,Application for outdoor music venue permit for Green Light Social located on the 2nd floor.,Redrum Bar llc DBA Green Light Social,Food Service
Concrete Pouring,,Beck Commercial Construction LLC,Construction
Concrete Pouring,"Type 2 permit needed for concrete installation of LEVEL 8.5 pour during non-peak hours from 12:00am - 6:00am on Friday, January 22nd, 2021 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Greg Sullivan (832)478-7011 or (303)815-8562.",McClone Construction Company,Construction
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours on Monday morning, June 10th, 2024 starting at 12:01am unless delayed.  Sound level shall not exceed 78dBA measured 75ft from source of sound.  Sound and Light Management plan and confirmation that notification of the non-peak hour concrete pour will be provided to surrounding property owners and representatives as required per code.  On site supervisor / superintendent: Adam Mahmoud (512)230-6622 or Luis Garcia (281)222-8376.",JE Dunn Construction,Construction
Concrete Pouring,"Type 2 permit needed for concrete installation of Level 8 Pour 1 during non-peak hours from 12:00am to 7:00am on Saturday, September 5th, 2020 unless delayed.  Sound level shall not exceed 78dBA measured 75ft from source of sound.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Mike Alvarado (512)713-5917.",Keystone Concrete Placement,Construction
Concrete Pouring,,Harvey-Cleary Builders,Construction
Concrete Pouring,"*Pour postponed - permit no longer needed* Type 2 permit needed for concrete installation of TL38-2 during non-peak hours on Monday morning, October 30th, 2023 starting at 12:01am.  Sound level shall not exceed 78dBA measured 75ft from source of sound.  Sound and Light Management plan and confirmation that notification of the non-peak hour concrete pour will be provided to surrounding property owners and representatives as required per code.  On site supervisor / superintendent: Joe Smith (512)626-4460 or Brad Adams (512)677-1571.",JE Dunn,Construction
Government Amplified Sound,created in error,Cristo Rey Catholic Church,Non-profit/Charitable Organizations
Private Sound Amplification,"Amplified sound permit for Lustre Pearl Rainey spring event in vacant lot March 8-16, 2019.",Dunlap-ATX,Construction
Outdoor Music Venue,,Cheer Up Charlies LLC,Food Service
Advertising Sound Amplification,,Doc's Motorworks,Food Service
Advertising Sound Amplification,,Freescale Semiconductor,Technology
Outdoor Music Venue,,J Blacks LP,Food Service
Concrete Pouring,,"Austin Commercial, LP",Construction
Government Amplified Sound,,Food Allergy & Anaphylaxis Network,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual outdoor music venue permit,Circuit of the Americas,Entertainment
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 12:00am - 6:00am on Wednesday, January 13th, 2021 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: John Storey (512)820-8541.",Hensel Phelps Construction,Construction
Advertising Sound Amplification,,"W Hotel Management, Inc. dba W Austin",Hospitality
Concrete Pouring,"Type 2 permit needed for concrete installation of L23 during non-peak hours from 1:00am to 7:00am on Friday morning, September 15th, 2023.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Salvador Rebollar (512)563-2138 or Jacob Velasco (469)289-8339.",Capform Inc,Construction
Government Amplified Sound,,Community Care,Healthcare
Concrete Pouring,,HENSEL PHELPS CONSTRUCTION CO,Construction
Advertising Sound Amplification,,"Three's Company, LLC ATTN: Charles Ferraro",Unknown
Outdoor Music Venue,,Snack Bar,Food Service
Government Amplified Sound,,Red Licorice Events,Other
Concrete Pouring,"Type 2 permit needed for concrete installation of Level 6 Pour 1 during non-peak hours starting at 12:00am on Wednesday, July 29th, 2020 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Daron Ledwig 832-294-4175.",TAS Commercial Concrete Construction LLC,Construction
Outdoor Music Venue,,Sullivan's - Austin LP DBA Sullivan's Steakhouse,Food Service
Concrete Pouring,,"United Forming, Inc.",Construction
Outdoor Music Venue,,"Fado Beverage Company, Inc. dba Fado Irish Pub",Food Service
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Austin Icehouse,Food Service
Concrete Pouring,,SJL CONST OF TX LTD,Construction
Private Sound Amplification,,Lustre Pearl,Food Service
Advertising Sound Amplification,,COFFEE TRADERS INC DBA TEXAS COFFEE TRADERS,Food Service
Concrete Pouring,,Largo Concrete,Construction
Private Sound Amplification,"Amplified sound permit for events on Friday, April 22, 2022 and Saturday, April 23, 2022.",Austin Community College,Education
Outdoor Music Venue,,"Austin Hawk, LP dba The Mohawk",Entertainment
Concrete Pouring,,W Hotels,Hospitality
Outdoor Music Venue,Application to renew annual music venue permit (for an indoor room with roll up garage doors that will be up during operating hours and closed after).,Hole In The Wall,Entertainment
