"SUB_TYPE","EVENT_MONTH","AMPLIFIED_SOUND_DISTRICT","EVENT_YEAR","CAPACITY","DECIBEL_LEVEL","END_HOURS_CONC_POUR_MON_SAT","END_HOURS_NEAR_HOME_FRI_SAT","END_HOURS_NEAR_HOME_SUN_THUR","END_HOURS_NOT_NEAR_HOME","EXISTING_ZONING","EXPIRATION_DATE","IN_DATE","ISSUE_DATE","ISSUED_BY","OMV_FRI_END_TIME","OMV_FRI_START_TIME","OMV_MON_END_TIME","OMV_MON_START_TIME","OMV_SAT_END_TIME","OMV_SAT_START_TIME","OMV_SUN_END_TIME","OMV_SUN_START_TIME","OMV_THU_END_TIME","OMV_THU_START_TIME","OMV_TUE_END_TIME","OMV_TUE_START_TIME","OMV_WED_END_TIME","OMV_WED_START_TIME","REST_51_PERCENT_FOOD_SALES","SQUARE_FOOTAGE","START_DATE","MULTIPLE_START_DATES","START_HOURS_CONC_POUR_MON_SAT","START_HOURS_NEAR_HOME_FRI_SAT","START_HOURS_NEAR_HOME_SUN_THUR","START_HOURS_NOT_NEAR_HOME","STATUS","STREET_ADDRESS","ZIPCODE","LATITUDE","LONGITUDE","COUNCIL_DISTRICT","time_diff","in_mon","issue_mon","in_year","issue_year"
"Outdoor Music Venue",NA,"Residential",2016,54,70,NA,NA,NA,NA,"CS-1",NA,2016-02-04,2016-03-02,"Viktor Auzenne","22","10","20","10","22","10","20","10","20","10","20","10","20","10","No",817,NA,FALSE,NA,NA,NA,NA,"Expired","CESAR CHAVEZ ST","78702",30.25652851,-97.72323287,3,27,"February","March","2016","2016"
"Outdoor Music Venue",NA,"Residential",2018,NA,85,NA,NA,NA,NA,"TOD",NA,2018-02-28,2018-03-28,"Bryan Walker","00","10","22","10","00","10","22","10","22","10","22","10","22","10","No",2100,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78702",30.26202979,-97.72258671,3,27.9583333333333,"February","March","2018","2018"
"Outdoor Music Venue",NA,"6th",2021,NA,85,NA,NA,NA,NA,"CBD",NA,2021-12-29,2022-02-28,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",1,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26732068,-97.73893254,9,61,"December","February","2021","2022"
"Concrete Pouring","SEPTEMBER","Unknown",2019,NA,NA,7,NA,NA,NA,"CBD","2019-09-12",2019-08-20,2019-08-21,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-09",FALSE,0,NA,NA,NA,"Expired","BRAZOS ST","78701",30.26697836,-97.74145118,9,1,"August","August","2019","2019"
"Concrete Pouring","FEBRUARY","Unknown",2018,NA,NA,6,NA,NA,NA,"CBD","2018-02-21",2018-02-16,2018-02-16,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-02-19",FALSE,0,NA,NA,NA,"Expired","GUADALUPE ST","78701",30.26748758,-97.74664336,9,0,"February","February","2018","2018"
"Concrete Pouring","SEPTEMBER","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-09-10",2009-05-29,2009-06-02,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-07",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,4,"May","June","2009","2009"
"Concrete Pouring","MARCH","Unknown",2017,NA,NA,6,NA,NA,NA,"CBD","2017-03-02",2017-02-24,2017-02-24,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-01",FALSE,0,NA,NA,NA,"Expired","WEST AVE","78701",30.26952957,-97.75052242,9,0,"February","February","2017","2017"
"Private Sound Amplification","APRIL","Residential",2019,NA,85,NA,22,NA,NA,"CS-MU-V-CO-NP","2019-04-26",2019-04-15,2019-04-17,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-04-26",FALSE,NA,18,NA,NA,"Expired","BURNET RD","78756",30.31897441,-97.73891006,7,2,"April","April","2019","2019"
"Outdoor Music Venue",NA,"6th",2018,NA,85,NA,NA,NA,NA,"CBD",NA,2018-05-15,2018-07-20,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",2500,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26733296,-97.73899558,9,66,"May","July","2018","2018"
"Concrete Pouring","JUNE","Unknown",2020,NA,NA,6,NA,NA,NA,"CBD","2020-06-12",2020-06-09,2020-06-09,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-06-10",FALSE,0,NA,NA,NA,"Expired","EAST AVE","78701",30.2563889,-97.7388366,9,0,"June","June","2020","2020"
